2.50000000e-01,4.93183182e+00,2.50000000e-01.1,5.00000000e+00
0.251,4.93155568,0.251,5.0
0.252,4.93127949,0.252,5.0
0.253,4.93100328,0.253,5.0
0.254,4.93072705,0.254,5.0
0.255,4.93045078,0.255,5.0
0.256,4.93017449,0.256,5.0
0.257,4.92989817,0.257,5.0
0.258,4.92962182,0.258,5.0
0.259,4.92934545,0.259,5.0
0.26,4.92906904,0.26,5.0
0.261,4.92879261,0.261,5.0
0.262,4.92851615,0.262,5.0
0.263,4.92823966,0.263,5.0
0.264,4.92796314,0.264,5.0
0.265,4.92768659,0.265,5.0
0.266,4.92741002,0.266,5.0
0.267,4.92713342,0.267,5.0
0.268,4.92685679,0.268,5.0
0.269,4.92658013,0.269,5.0
0.27,4.92630344,0.27,5.0
0.271,4.92602672,0.271,5.0
0.272,4.92574998,0.272,5.0
0.273,4.9254732,0.273,5.0
0.274,4.9251964,0.274,5.0
0.275,4.92491957,0.275,5.0
0.276,4.92464271,0.276,5.0
0.277,4.92436582,0.277,5.0
0.278,4.92408891,0.278,5.0
0.279,4.92381197,0.279,5.0
0.28,4.92353499,0.28,5.0
0.281,4.92325799,0.281,5.0
0.282,4.92298096,0.282,5.0
0.283,4.9227039,0.283,5.0
0.284,4.92242682,0.284,5.0
0.285,4.9221497,0.285,5.0
0.286,4.92187256,0.286,5.0
0.287,4.92159539,0.287,5.0
0.288,4.92131819,0.288,5.0
0.289,4.92104096,0.289,5.0
0.29,4.9207637,0.29,5.0
0.291,4.92048642,0.291,5.0
0.292,4.9202091,0.292,5.0
0.293,4.91993176,0.293,5.0
0.294,4.91965439,0.294,5.0
0.295,4.91937699,0.295,5.0
0.296,4.91909956,0.296,5.0
0.297,4.9188221,0.297,5.0
0.298,4.91854462,0.298,5.0
0.299,4.9182671,0.299,5.0
0.3,4.91798956,0.3,5.0
0.301,4.91771199,0.301,5.0
0.302,4.91743439,0.302,5.0
0.303,4.91715676,0.303,5.0
0.304,4.91687911,0.304,5.0
0.305,4.91660142,0.305,5.0
0.306,4.91632371,0.306,5.0
0.307,4.91604596,0.307,5.0
0.308,4.91576819,0.308,5.0
0.309,4.91549039,0.309,5.0
0.31,4.91521256,0.31,5.0
0.311,4.9149347,0.311,5.0
0.312,4.91465682,0.312,5.0
0.313,4.9143789,0.313,5.0
0.314,4.91410096,0.314,5.0
0.315,4.91382299,0.315,5.0
0.316,4.91354499,0.316,5.0
0.317,4.91326696,0.317,5.0
0.318,4.9129889,0.318,5.0
0.319,4.91271081,0.319,5.0
0.32,4.9124327,0.32,5.0
0.321,4.91215455,0.321,5.0
0.322,4.91187638,0.322,5.0
0.323,4.91159818,0.323,5.0
0.324,4.91131995,0.324,5.0
0.325,4.91104169,0.325,5.0
0.326,4.9107634,0.326,5.0
0.327,4.91048508,0.327,5.0
0.328,4.91020674,0.328,5.0
0.329,4.90992836,0.329,5.0
0.33,4.90964996,0.33,5.0
0.331,4.90937153,0.331,5.0
0.332,4.90909306,0.332,5.0
0.333,4.90881457,0.333,5.0
0.334,4.90853606,0.334,5.0
0.335,4.90825751,0.335,5.0
0.336,4.90797893,0.336,5.0
0.337,4.90770033,0.337,5.0
0.338,4.90742169,0.338,5.0
0.339,4.90714303,0.339,5.0
0.34,4.90686434,0.34,5.0
0.341,4.90658562,0.341,5.0
0.342,4.90630687,0.342,5.0
0.343,4.90602809,0.343,5.0
0.344,4.90574929,0.344,5.0
0.345,4.90547045,0.345,5.0
0.346,4.90519158,0.346,5.0
0.347,4.90491269,0.347,5.0
0.348,4.90463377,0.348,5.0
0.349,4.90435482,0.349,5.0
0.35,4.90407584,0.35,5.0
0.25,4.92676862,0.25,5.0
0.251,4.92647116,0.251,5.0
0.252,4.92617363,0.252,5.0
0.253,4.92587608,0.253,5.0
0.254,4.92557849,0.254,5.0
0.255,4.92528086,0.255,5.0
0.256,4.9249832,0.256,5.0
0.257,4.9246855,0.257,5.0
0.258,4.92438776,0.258,5.0
0.259,4.92408999,0.259,5.0
0.26,4.92379218,0.26,5.0
0.261,4.92349433,0.261,5.0
0.262,4.92319644,0.262,5.0
0.263,4.92289852,0.263,5.0
0.264,4.92260055,0.264,5.0
0.265,4.92230256,0.265,5.0
0.266,4.92200452,0.266,5.0
0.267,4.92170645,0.267,5.0
0.268,4.92140834,0.268,5.0
0.269,4.92111019,0.269,5.0
0.27,4.920812,0.27,5.0
0.271,4.92051378,0.271,5.0
0.272,4.92021552,0.272,5.0
0.273,4.91991722,0.273,5.0
0.274,4.91961889,0.274,5.0
0.275,4.91932052,0.275,5.0
0.276,4.91902211,0.276,5.0
0.277,4.91872366,0.277,5.0
0.278,4.91842517,0.278,5.0
0.279,4.91812665,0.279,5.0
0.28,4.91782809,0.28,5.0
0.281,4.9175295,0.281,5.0
0.282,4.91723086,0.282,5.0
0.283,4.91693219,0.283,5.0
0.284,4.91663348,0.284,5.0
0.285,4.91633473,0.285,5.0
0.286,4.91603595,0.286,5.0
0.287,4.91573713,0.287,5.0
0.288,4.91543827,0.288,5.0
0.289,4.91513937,0.289,5.0
0.29,4.91484044,0.29,5.0
0.291,4.91454146,0.291,5.0
0.292,4.91424245,0.292,5.0
0.293,4.91394341,0.293,5.0
0.294,4.91364432,0.294,5.0
0.295,4.9133452,0.295,5.0
0.296,4.91304604,0.296,5.0
0.297,4.91274684,0.297,5.0
0.298,4.9124476,0.298,5.0
0.299,4.91214833,0.299,5.0
0.3,4.91184902,0.3,5.0
0.301,4.91154967,0.301,5.0
0.302,4.91125028,0.302,5.0
0.303,4.91095086,0.303,5.0
0.304,4.9106514,0.304,5.0
0.305,4.9103519,0.305,5.0
0.306,4.91005236,0.306,5.0
0.307,4.90975278,0.307,5.0
0.308,4.90945317,0.308,5.0
0.309,4.90915352,0.309,5.0
0.31,4.90885383,0.31,5.0
0.311,4.9085541,0.311,5.0
0.312,4.90825434,0.312,5.0
0.313,4.90795454,0.313,5.0
0.314,4.9076547,0.314,5.0
0.315,4.90735482,0.315,5.0
0.316,4.9070549,0.316,5.0
0.317,4.90675495,0.317,5.0
0.318,4.90645496,0.318,5.0
0.319,4.90615493,0.319,5.0
0.32,4.90585486,0.32,5.0
0.321,4.90555476,0.321,5.0
0.322,4.90525461,0.322,5.0
0.323,4.90495443,0.323,5.0
0.324,4.90465421,0.324,5.0
0.325,4.90435396,0.325,5.0
0.326,4.90405366,0.326,5.0
0.327,4.90375333,0.327,5.0
0.328,4.90345296,0.328,5.0
0.329,4.90315255,0.329,5.0
0.33,4.9028521,0.33,5.0
0.331,4.90255161,0.331,5.0
0.332,4.90225109,0.332,5.0
0.333,4.90195053,0.333,5.0
0.334,4.90164993,0.334,5.0
0.335,4.90134929,0.335,5.0
0.336,4.90104862,0.336,5.0
0.337,4.9007479,0.337,5.0
0.338,4.90044715,0.338,5.0
0.339,4.90014636,0.339,5.0
0.34,4.89984553,0.34,5.0
0.341,4.89954467,0.341,5.0
0.342,4.89924376,0.342,5.0
0.343,4.89894282,0.343,5.0
0.344,4.89864184,0.344,5.0
0.345,4.89834082,0.345,5.0
0.346,4.89803976,0.346,5.0
0.347,4.89773867,0.347,5.0
0.348,4.89743753,0.348,5.0
0.349,4.89713636,0.349,5.0
0.35,4.89683515,0.35,5.0
0.25,4.92003425,0.25,5.0
0.251,4.91970812,0.251,5.0
0.252,4.91938195,0.252,5.0
0.253,4.91905572,0.253,5.0
0.254,4.91872944,0.254,5.0
0.255,4.91840311,0.255,5.0
0.256,4.91807673,0.256,5.0
0.257,4.91775029,0.257,5.0
0.258,4.91742381,0.258,5.0
0.259,4.91709727,0.259,5.0
0.26,4.91677068,0.26,5.0
0.261,4.91644404,0.261,5.0
0.262,4.91611735,0.262,5.0
0.263,4.91579061,0.263,5.0
0.264,4.91546381,0.264,5.0
0.265,4.91513697,0.265,5.0
0.266,4.91481007,0.266,5.0
0.267,4.91448312,0.267,5.0
0.268,4.91415612,0.268,5.0
0.269,4.91382906,0.269,5.0
0.27,4.91350196,0.27,5.0
0.271,4.9131748,0.271,5.0
0.272,4.91284759,0.272,5.0
0.273,4.91252033,0.273,5.0
0.274,4.91219301,0.274,5.0
0.275,4.91186565,0.275,5.0
0.276,4.91153823,0.276,5.0
0.277,4.91121076,0.277,5.0
0.278,4.91088324,0.278,5.0
0.279,4.91055567,0.279,5.0
0.28,4.91022804,0.28,5.0
0.281,4.90990037,0.281,5.0
0.282,4.90957264,0.282,5.0
0.283,4.90924486,0.283,5.0
0.284,4.90891702,0.284,5.0
0.285,4.90858914,0.285,5.0
0.286,4.9082612,0.286,5.0
0.287,4.90793321,0.287,5.0
0.288,4.90760517,0.288,5.0
0.289,4.90727707,0.289,5.0
0.29,4.90694893,0.29,5.0
0.291,4.90662073,0.291,5.0
0.292,4.90629248,0.292,5.0
0.293,4.90596417,0.293,5.0
0.294,4.90563582,0.294,5.0
0.295,4.90530741,0.295,5.0
0.296,4.90497895,0.296,5.0
0.297,4.90465044,0.297,5.0
0.298,4.90432187,0.298,5.0
0.299,4.90399325,0.299,5.0
0.3,4.90366458,0.3,5.0
0.301,4.90333586,0.301,5.0
0.302,4.90300709,0.302,5.0
0.303,4.90267826,0.303,5.0
0.304,4.90234938,0.304,5.0
0.305,4.90202045,0.305,5.0
0.306,4.90169146,0.306,5.0
0.307,4.90136243,0.307,5.0
0.308,4.90103334,0.308,5.0
0.309,4.90070419,0.309,5.0
0.31,4.900375,0.31,5.0
0.311,4.90004575,0.311,5.0
0.312,4.89971645,0.312,5.0
0.313,4.8993871,0.313,5.0
0.314,4.89905769,0.314,5.0
0.315,4.89872823,0.315,5.0
0.316,4.89839872,0.316,5.0
0.317,4.89806916,0.317,5.0
0.318,4.89773954,0.318,5.0
0.319,4.89740987,0.319,5.0
0.32,4.89708015,0.32,5.0
0.321,4.89675037,0.321,5.0
0.322,4.89642054,0.322,5.0
0.323,4.89609066,0.323,5.0
0.324,4.89576073,0.324,5.0
0.325,4.89543074,0.325,5.0
0.326,4.8951007,0.326,5.0
0.327,4.89477061,0.327,5.0
0.328,4.89444046,0.328,5.0
0.329,4.89411026,0.329,5.0
0.33,4.89378001,0.33,5.0
0.331,4.8934497,0.331,5.0
0.332,4.89311935,0.332,5.0
0.333,4.89278893,0.333,5.0
0.334,4.89245847,0.334,5.0
0.335,4.89212795,0.335,5.0
0.336,4.89179738,0.336,5.0
0.337,4.89146676,0.337,5.0
0.338,4.89113608,0.338,5.0
0.339,4.89080535,0.339,5.0
0.34,4.89047457,0.34,5.0
0.341,4.89014373,0.341,5.0
0.342,4.88981284,0.342,5.0
0.343,4.8894819,0.343,5.0
0.344,4.8891509,0.344,5.0
0.345,4.88881985,0.345,5.0
0.346,4.88848874,0.346,5.0
0.347,4.88815759,0.347,5.0
0.348,4.88782638,0.348,5.0
0.349,4.88749511,0.349,5.0
0.35,4.8871638,0.35,5.0
0.25,4.91061484,0.25,5.0
0.251,4.91024806,0.251,5.0
0.252,4.90988119,0.252,5.0
0.253,4.90951426,0.253,5.0
0.254,4.90914724,0.254,5.0
0.255,4.90878015,0.255,5.0
0.256,4.90841298,0.256,5.0
0.257,4.90804573,0.257,5.0
0.258,4.9076784,0.258,5.0
0.259,4.907311,0.259,5.0
0.26,4.90694352,0.26,5.0
0.261,4.90657597,0.261,5.0
0.262,4.90620834,0.262,5.0
0.263,4.90584062,0.263,5.0
0.264,4.90547284,0.264,5.0
0.265,4.90510497,0.265,5.0
0.266,4.90473703,0.266,5.0
0.267,4.90436901,0.267,5.0
0.268,4.90400091,0.268,5.0
0.269,4.90363274,0.269,5.0
0.27,4.90326449,0.27,5.0
0.271,4.90289616,0.271,5.0
0.272,4.90252775,0.272,5.0
0.273,4.90215926,0.273,5.0
0.274,4.9017907,0.274,5.0
0.275,4.90142206,0.275,5.0
0.276,4.90105334,0.276,5.0
0.277,4.90068454,0.277,5.0
0.278,4.90031567,0.278,5.0
0.279,4.89994672,0.279,5.0
0.28,4.89957769,0.28,5.0
0.281,4.89920858,0.281,5.0
0.282,4.89883939,0.282,5.0
0.283,4.89847013,0.283,5.0
0.284,4.89810079,0.284,5.0
0.285,4.89773137,0.285,5.0
0.286,4.89736187,0.286,5.0
0.287,4.89699229,0.287,5.0
0.288,4.89662264,0.288,5.0
0.289,4.8962529,0.289,5.0
0.29,4.89588309,0.29,5.0
0.291,4.8955132,0.291,5.0
0.292,4.89514323,0.292,5.0
0.293,4.89477318,0.293,5.0
0.294,4.89440306,0.294,5.0
0.295,4.89403285,0.295,5.0
0.296,4.89366257,0.296,5.0
0.297,4.89329221,0.297,5.0
0.298,4.89292177,0.298,5.0
0.299,4.89255125,0.299,5.0
0.3,4.89218065,0.3,5.0
0.301,4.89180997,0.301,5.0
0.302,4.89143922,0.302,5.0
0.303,4.89106838,0.303,5.0
0.304,4.89069747,0.304,5.0
0.305,4.89032648,0.305,5.0
0.306,4.88995541,0.306,5.0
0.307,4.88958426,0.307,5.0
0.308,4.88921303,0.308,5.0
0.309,4.88884172,0.309,5.0
0.31,4.88847033,0.31,5.0
0.311,4.88809886,0.311,5.0
0.312,4.88772732,0.312,5.0
0.313,4.88735569,0.313,5.0
0.314,4.88698398,0.314,5.0
0.315,4.8866122,0.315,5.0
0.316,4.88624034,0.316,5.0
0.317,4.88586839,0.317,5.0
0.318,4.88549637,0.318,5.0
0.319,4.88512427,0.319,5.0
0.32,4.88475208,0.32,5.0
0.321,4.88437982,0.321,5.0
0.322,4.88400748,0.322,5.0
0.323,4.88363506,0.323,5.0
0.324,4.88326256,0.324,5.0
0.325,4.88288998,0.325,5.0
0.326,4.88251732,0.326,5.0
0.327,4.88214458,0.327,5.0
0.328,4.88177175,0.328,5.0
0.329,4.88139885,0.329,5.0
0.33,4.88102587,0.33,5.0
0.331,4.88065281,0.331,5.0
0.332,4.88027967,0.332,5.0
0.333,4.87990645,0.333,5.0
0.334,4.87953315,0.334,5.0
0.335,4.87915977,0.335,5.0
0.336,4.87878631,0.336,5.0
0.337,4.87841276,0.337,5.0
0.338,4.87803914,0.338,5.0
0.339,4.87766544,0.339,5.0
0.34,4.87729165,0.34,5.0
0.341,4.87691779,0.341,5.0
0.342,4.87654385,0.342,5.0
0.343,4.87616982,0.343,5.0
0.344,4.87579571,0.344,5.0
0.345,4.87542153,0.345,5.0
0.346,4.87504726,0.346,5.0
0.347,4.87467291,0.347,5.0
0.348,4.87429848,0.348,5.0
0.349,4.87392397,0.349,5.0
0.35,4.87354938,0.35,5.0
0.25,4.89645006,0.25,5.0
0.251,4.89602071,0.251,5.0
0.252,4.89559111,0.252,5.0
0.253,4.89516144,0.253,5.0
0.254,4.89473164,0.254,5.0
0.255,4.89430171,0.255,5.0
0.256,4.89387165,0.256,5.0
0.257,4.89344147,0.257,5.0
0.258,4.89301115,0.258,5.0
0.259,4.89258071,0.259,5.0
0.26,4.89215013,0.26,5.0
0.261,4.89171943,0.261,5.0
0.262,4.89128859,0.262,5.0
0.263,4.89085763,0.263,5.0
0.264,4.89042654,0.264,5.0
0.265,4.88999531,0.265,5.0
0.266,4.88956396,0.266,5.0
0.267,4.88913247,0.267,5.0
0.268,4.88870086,0.268,5.0
0.269,4.88826911,0.269,5.0
0.27,4.88783724,0.27,5.0
0.271,4.88740523,0.271,5.0
0.272,4.88697309,0.272,5.0
0.273,4.88654082,0.273,5.0
0.274,4.88610842,0.274,5.0
0.275,4.88567589,0.275,5.0
0.276,4.88524323,0.276,5.0
0.277,4.88481043,0.277,5.0
0.278,4.88437751,0.278,5.0
0.279,4.88394445,0.279,5.0
0.28,4.88351127,0.28,5.0
0.281,4.88307795,0.281,5.0
0.282,4.88264449,0.282,5.0
0.283,4.88221091,0.283,5.0
0.284,4.88177719,0.284,5.0
0.285,4.88134335,0.285,5.0
0.286,4.88090937,0.286,5.0
0.287,4.88047525,0.287,5.0
0.288,4.88004101,0.288,5.0
0.289,4.87960663,0.289,5.0
0.29,4.87917212,0.29,5.0
0.291,4.87873748,0.291,5.0
0.292,4.8783027,0.292,5.0
0.293,4.87786779,0.293,5.0
0.294,4.87743275,0.294,5.0
0.295,4.87699758,0.295,5.0
0.296,4.87656227,0.296,5.0
0.297,4.87612683,0.297,5.0
0.298,4.87569125,0.298,5.0
0.299,4.87525554,0.299,5.0
0.3,4.8748197,0.3,5.0
0.301,4.87438372,0.301,5.0
0.302,4.87394761,0.302,5.0
0.303,4.87351137,0.303,5.0
0.304,4.87307499,0.304,5.0
0.305,4.87263848,0.305,5.0
0.306,4.87220183,0.306,5.0
0.307,4.87176505,0.307,5.0
0.308,4.87132814,0.308,5.0
0.309,4.87089109,0.309,5.0
0.31,4.8704539,0.31,5.0
0.311,4.87001658,0.311,5.0
0.312,4.86957913,0.312,5.0
0.313,4.86914154,0.313,5.0
0.314,4.86870381,0.314,5.0
0.315,4.86826595,0.315,5.0
0.316,4.86782795,0.316,5.0
0.317,4.86738982,0.317,5.0
0.318,4.86695156,0.318,5.0
0.319,4.86651315,0.319,5.0
0.32,4.86607461,0.32,5.0
0.321,4.86563594,0.321,5.0
0.322,4.86519713,0.322,5.0
0.323,4.86475818,0.323,5.0
0.324,4.8643191,0.324,5.0
0.325,4.86387988,0.325,5.0
0.326,4.86344053,0.326,5.0
0.327,4.86300103,0.327,5.0
0.328,4.86256141,0.328,5.0
0.329,4.86212164,0.329,5.0
0.33,4.86168174,0.33,5.0
0.331,4.8612417,0.331,5.0
0.332,4.86080152,0.332,5.0
0.333,4.86036121,0.333,5.0
0.334,4.85992076,0.334,5.0
0.335,4.85948017,0.335,5.0
0.336,4.85903944,0.336,5.0
0.337,4.85859858,0.337,5.0
0.338,4.85815758,0.338,5.0
0.339,4.85771644,0.339,5.0
0.34,4.85727516,0.34,5.0
0.341,4.85683375,0.341,5.0
0.342,4.85639219,0.342,5.0
0.343,4.8559505,0.343,5.0
0.344,4.85550867,0.344,5.0
0.345,4.8550667,0.345,5.0
0.346,4.8546246,0.346,5.0
0.347,4.85418235,0.347,5.0
0.348,4.85373997,0.348,5.0
0.349,4.85329744,0.349,5.0
0.35,4.85285478,0.35,5.0
0.25,4.87255635,0.25,5.0
0.251,4.87201645,0.251,5.0
0.252,4.8714763,0.252,5.0
0.253,4.87093587,0.253,5.0
0.254,4.87039518,0.254,5.0
0.255,4.86985422,0.255,5.0
0.256,4.869313,0.256,5.0
0.257,4.86877151,0.257,5.0
0.258,4.86822975,0.258,5.0
0.259,4.86768773,0.259,5.0
0.26,4.86714544,0.26,5.0
0.261,4.86660287,0.261,5.0
0.262,4.86606004,0.262,5.0
0.263,4.86551694,0.263,5.0
0.264,4.86497358,0.264,5.0
0.265,4.86442994,0.265,5.0
0.266,4.86388603,0.266,5.0
0.267,4.86334185,0.267,5.0
0.268,4.8627974,0.268,5.0
0.269,4.86225268,0.269,5.0
0.27,4.86170769,0.27,5.0
0.271,4.86116242,0.271,5.0
0.272,4.86061688,0.272,5.0
0.273,4.86007107,0.273,5.0
0.274,4.85952499,0.274,5.0
0.275,4.85897864,0.275,5.0
0.276,4.85843201,0.276,5.0
0.277,4.8578851,0.277,5.0
0.278,4.85733793,0.278,5.0
0.279,4.85679047,0.279,5.0
0.28,4.85624274,0.28,5.0
0.281,4.85569474,0.281,5.0
0.282,4.85514646,0.282,5.0
0.283,4.85459791,0.283,5.0
0.284,4.85404907,0.284,5.0
0.285,4.85349997,0.285,5.0
0.286,4.85295058,0.286,5.0
0.287,4.85240092,0.287,5.0
0.288,4.85185097,0.288,5.0
0.289,4.85130075,0.289,5.0
0.29,4.85075025,0.29,5.0
0.291,4.85019948,0.291,5.0
0.292,4.84964842,0.292,5.0
0.293,4.84909708,0.293,5.0
0.294,4.84854546,0.294,5.0
0.295,4.84799356,0.295,5.0
0.296,4.84744138,0.296,5.0
0.297,4.84688892,0.297,5.0
0.298,4.84633618,0.298,5.0
0.299,4.84578316,0.299,5.0
0.3,4.84522985,0.3,5.0
0.301,4.84467626,0.301,5.0
0.302,4.84412238,0.302,5.0
0.303,4.84356823,0.303,5.0
0.304,4.84301378,0.304,5.0
0.305,4.84245906,0.305,5.0
0.306,4.84190405,0.306,5.0
0.307,4.84134875,0.307,5.0
0.308,4.84079317,0.308,5.0
0.309,4.8402373,0.309,5.0
0.31,4.83968115,0.31,5.0
0.311,4.83912471,0.311,5.0
0.312,4.83856798,0.312,5.0
0.313,4.83801097,0.313,5.0
0.314,4.83745366,0.314,5.0
0.315,4.83689607,0.315,5.0
0.316,4.83633819,0.316,5.0
0.317,4.83578002,0.317,5.0
0.318,4.83522156,0.318,5.0
0.319,4.83466282,0.319,5.0
0.32,4.83410378,0.32,5.0
0.321,4.83354445,0.321,5.0
0.322,4.83298483,0.322,5.0
0.323,4.83242491,0.323,5.0
0.324,4.83186471,0.324,5.0
0.325,4.83130421,0.325,5.0
0.326,4.83074343,0.326,5.0
0.327,4.83018234,0.327,5.0
0.328,4.82962097,0.328,5.0
0.329,4.8290593,0.329,5.0
0.33,4.82849734,0.33,5.0
0.331,4.82793508,0.331,5.0
0.332,4.82737252,0.332,5.0
0.333,4.82680968,0.333,5.0
0.334,4.82624653,0.334,5.0
0.335,4.82568309,0.335,5.0
0.336,4.82511935,0.336,5.0
0.337,4.82455532,0.337,5.0
0.338,4.82399099,0.338,5.0
0.339,4.82342636,0.339,5.0
0.34,4.82286143,0.34,5.0
0.341,4.8222962,0.341,5.0
0.342,4.82173067,0.342,5.0
0.343,4.82116485,0.343,5.0
0.344,4.82059872,0.344,5.0
0.345,4.82003229,0.345,5.0
0.346,4.81946557,0.346,5.0
0.347,4.81889854,0.347,5.0
0.348,4.81833121,0.348,5.0
0.349,4.81776357,0.349,5.0
0.35,4.81719564,0.35,5.0
0.25,4.82239785,0.25,5.0
0.251,4.82159907,0.251,5.0
0.252,4.82079942,0.252,5.0
0.253,4.8199989,0.253,5.0
0.254,4.8191975,0.254,5.0
0.255,4.81839522,0.255,5.0
0.256,4.81759206,0.256,5.0
0.257,4.81678802,0.257,5.0
0.258,4.81598309,0.258,5.0
0.259,4.81517727,0.259,5.0
0.26,4.81437056,0.26,5.0
0.261,4.81356295,0.261,5.0
0.262,4.81275445,0.262,5.0
0.263,4.81194505,0.263,5.0
0.264,4.81113474,0.264,5.0
0.265,4.81032353,0.265,5.0
0.266,4.80951141,0.266,5.0
0.267,4.80869838,0.267,5.0
0.268,4.80788443,0.268,5.0
0.269,4.80706957,0.269,5.0
0.27,4.80625379,0.27,5.0
0.271,4.80543708,0.271,5.0
0.272,4.80461945,0.272,5.0
0.273,4.8038009,0.273,5.0
0.274,4.80298141,0.274,5.0
0.275,4.80216099,0.275,5.0
0.276,4.80133963,0.276,5.0
0.277,4.80051733,0.277,5.0
0.278,4.79969409,0.278,5.0
0.279,4.7988699,0.279,5.0
0.28,4.79804476,0.28,5.0
0.281,4.79721868,0.281,5.0
0.282,4.79639163,0.282,5.0
0.283,4.79556363,0.283,5.0
0.284,4.79473467,0.284,5.0
0.285,4.79390475,0.285,5.0
0.286,4.79307386,0.286,5.0
0.287,4.792242,0.287,5.0
0.288,4.79140917,0.288,5.0
0.289,4.79057536,0.289,5.0
0.29,4.78974057,0.29,5.0
0.291,4.7889048,0.291,5.0
0.292,4.78806804,0.292,5.0
0.293,4.7872303,0.293,5.0
0.294,4.78639156,0.294,5.0
0.295,4.78555183,0.295,5.0
0.296,4.7847111,0.296,5.0
0.297,4.78386937,0.297,5.0
0.298,4.78302664,0.298,5.0
0.299,4.78218289,0.299,5.0
0.3,4.78133814,0.3,5.0
0.301,4.78049237,0.301,5.0
0.302,4.77964558,0.302,5.0
0.303,4.77879777,0.303,5.0
0.304,4.77794894,0.304,5.0
0.305,4.77709908,0.305,5.0
0.306,4.77624818,0.306,5.0
0.307,4.77539626,0.307,5.0
0.308,4.77454329,0.308,5.0
0.309,4.77368928,0.309,5.0
0.31,4.77283423,0.31,5.0
0.311,4.77197813,0.311,5.0
0.312,4.77112097,0.312,5.0
0.313,4.77026276,0.313,5.0
0.314,4.76940349,0.314,5.0
0.315,4.76854316,0.315,5.0
0.316,4.76768176,0.316,5.0
0.317,4.76681929,0.317,5.0
0.318,4.76595575,0.318,5.0
0.319,4.76509113,0.319,5.0
0.32,4.76422542,0.32,5.0
0.321,4.76335864,0.321,5.0
0.322,4.76249076,0.322,5.0
0.323,4.76162179,0.323,5.0
0.324,4.76075173,0.324,5.0
0.325,4.75988056,0.325,5.0
0.326,4.75900829,0.326,5.0
0.327,4.75813492,0.327,5.0
0.328,4.75726043,0.328,5.0
0.329,4.75638483,0.329,5.0
0.33,4.75550811,0.33,5.0
0.331,4.75463026,0.331,5.0
0.332,4.75375129,0.332,5.0
0.333,4.75287118,0.333,5.0
0.334,4.75198995,0.334,5.0
0.335,4.75110757,0.335,5.0
0.336,4.75022405,0.336,5.0
0.337,4.74933938,0.337,5.0
0.338,4.74845356,0.338,5.0
0.339,4.74756658,0.339,5.0
0.34,4.74667845,0.34,5.0
0.341,4.74578915,0.341,5.0
0.342,4.74489869,0.342,5.0
0.343,4.74400705,0.343,5.0
0.344,4.74311423,0.344,5.0
0.345,4.74222024,0.345,5.0
0.346,4.74132506,0.346,5.0
0.347,4.74042869,0.347,5.0
0.348,4.73953112,0.348,5.0
0.349,4.73863236,0.349,5.0
0.35,4.7377324,0.35,5.0
